Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,fh_status
81,Haiti,4.5,5.0,59.5,5.17,0,1,0,0,0,0,-1.33612228135324,partly free
82,Honduras,4.0,7.0,55.3,23.44,0,1,0,0,0,0,-0.792215303828186,partly free
89,Iraq,5.5,0.0,38.3,25.45,1,0,0,0,0,0,-1.46269721683617,partly free
96,Jordan,5.5,-3.0,37.7,8.48,1,0,0,0,0,0,0.349111855394246,partly free
97,Kazakhstan,5.5,-6.0,30.9,12.34,0,0,0,0,0,0,-0.937653190163128,partly free
98,Kenya,4.0,7.0,47.7,9.82,0,0,0,0,0,1,-0.987641033597619,partly free
104,Kyrgyz Republic,5.5,1.0,33.5,25.56,0,0,0,0,0,0,-1.1748554476416,partly free
108,Lesotho,3.0,8.0,52.5,25.83,0,0,0,0,0,1,-0.0286510302440637,partly free
109,Liberia,3.5,6.0,52.6,13.83,0,0,0,0,0,1,-0.715497298360268,partly free
115,"Macedonia, FYR",3.0,9.0,42.8,31.67,0,0,0,0,1,0,-0.224905719219929,partly free
116,Madagascar,5.0,0.0,47.2,9.38,0,0,0,0,0,1,-0.14226924248874,partly free
117,Malawi,3.5,6.0,39.0,12.95,0,0,0,0,0,1,-0.628449770837884,partly free
118,Malaysia,4.0,6.0,37.9,14.59,0,0,0,1,0,0,0.248531499290579,partly free
123,Mauritania,5.5,-2.0,39.0,19.87,0,0,0,0,0,1,-0.53783125919205,partly free
128,Moldova,3.5,8.0,37.4,21.78,0,0,0,0,0,0,-0.650764156170288,partly free
132,Morocco,4.5,-6.0,40.9,6.22,1,0,0,0,0,0,-0.257721825065937,partly free
133,Mozambique,3.5,5.0,47.1,34.8,0,0,0,0,0,1,-0.52440539781699,partly free
136,Nepal,4.0,6.0,47.3,33.16,0,0,0,0,0,0,-0.762604422189102,partly free
141,Nicaragua,4.0,9.0,52.3,18.48,0,1,0,0,0,0,-0.747011012934567,partly free
142,Niger,4.5,-3.0,43.9,12.39,0,0,0,0,0,1,-0.786162566729321,partly free
143,Nigeria,4.5,4.0,42.9,7.28,0,0,0,0,0,1,-1.05979890651506,partly free
147,Pakistan,4.5,5.0,31.2,21.23,0,0,0,0,0,0,-0.884608798110971,partly free
150,Papua New Guinea,3.5,4.0,50.9,0.92,0,0,0,0,0,0,-1.32452131085468,partly free
151,Paraguay,3.0,8.0,53.2,13.6,0,1,0,0,0,0,-1.19040084434992,partly free
153,Philippines,3.5,8.0,44.0,20.23,0,0,0,1,0,0,-0.663144559133422,partly free
157,Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147,partly free
159,Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867,partly free
160,Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563,partly free
165,Senegal,3.0,7.0,39.2,29.2,0,0,0,0,0,1,-0.366590316792602,partly free
168,Sierra Leone,3.0,7.0,42.5,13.22,0,0,0,0,0,1,-1.06766058586761,partly free
169,Singapore,4.5,-2.0,42.5,24.47,0,0,0,1,0,0,2.19852816137966,partly free
176,Sri Lanka,4.0,6.0,41.1,5.78,0,0,0,0,0,0,-0.193983916717163,partly free
186,Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042,partly free
187,Tanzania,3.5,-1.0,34.6,30.41,0,0,0,0,0,1,-0.439213089003676,partly free
188,Thailand,4.5,4.0,42.5,12.7,0,0,0,1,0,0,-0.225074311389067,partly free
190,Togo,4.5,-4.0,34.4,11.11,0,0,0,0,0,1,-0.9964824635599,partly free
194,Turkey,3.0,7.0,41.2,9.11,1,0,0,0,0,0,0.0743557869505077,partly free
198,Uganda,4.5,-1.0,42.6,30.72,0,0,0,0,0,1,-0.819750555271628,partly free
206,"Venezuela, RB",4.5,-3.0,43.4,18.56,0,1,0,0,0,0,-1.06167951677692,partly free
210,"Yemen, Rep.",5.5,-2.0,37.7,0.73,1,0,0,0,0,0,-0.808839779566311,partly free
211,Zambia,3.5,7.0,50.7,15.19,0,0,0,0,0,1,-0.601142208680117,partly free
